TFLite_operator,NNG Operator,SRAM Usage,Peak%,Op Cycles,Network%,NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network%,Util%,Name
CONV_2D,Conv2DBias,410112,79.81068626229917,95210.0,3.194148612284841,95210.0,25600.0,32512.532512532514,0.0,0.0,5529600,2.5763358778625953,11.343346287154711,model_28/tf.nn.relu/Relu;model_28/tf.math.add/Add;model_28/tf.nn.convolution/convolution;Const_248
CONV_2D,Conv2DBias,513360,99.9034749034749,37000.0,1.2412929172832594,19471.0,37000.0,0.0,0.0,0.0,7372800,3.435114503816794,38.91891891891892,model_28/tf.nn.relu_1/Relu;model_28/tf.math.add_1/Add;model_28/tf.nn.convolution_1/convolution;Const_245
CONV_2D,Conv2DBias,205296,39.95204882301657,13123.0,0.4402564041488706,13123.0,12800.0,0.0,0.0,0.0,1638400,0.7633587786259541,24.384668139907035,model_28/tf.nn.relu_2/Relu;model_28/tf.math.add_2/Add;model_28/tf.nn.convolution_2/convolution;Const_243
CONCATENATION,AvgPool,307200,59.783285589737204,7070.0,0.23718759257277416,7070.0,6720.0,0.0,0.0,0.0,51200,0.023854961832061067,1.4144271570014144,model_28/tf.concat/concat0_avgpool
CONCATENATION,AvgPool,307200,59.783285589737204,7070.0,0.23718759257277416,7070.0,6720.0,0.0,0.0,0.0,51200,0.023854961832061067,1.4144271570014144,model_28/tf.concat/concat1_avgpool
CONV_2D,Conv2DBias,410128,79.81379997509029,10450.0,0.3505813779894611,9787.0,10450.0,0.0,0.0,0.0,1843200,0.8587786259541985,34.44976076555024,model_28/tf.nn.relu_3/Relu;model_28/tf.math.add_3/Add;model_28/tf.nn.convolution_3/convolution;Const_241
CONV_2D,Conv2DBias,512608,99.7571304022917,14144.0,0.4745093789744438,10000.0,14144.0,0.0,0.0,0.0,1843200,0.8587786259541985,25.452488687782804,model_28/tf.nn.relu_4/Relu;model_28/tf.math.add_4/Add;model_28/tf.nn.convolution_4/convolution;Const_239
ADD,Add,409600,79.71104745298294,38400.0,1.28826075739668,38400.0,12800.0,0.0,0.0,0.0,0,0.0,0.0,model_28/tf.math.add_6/Add
CONCATENATION,AvgPool,307200,59.783285589737204,10240.0,0.343536201972448,7070.0,10240.0,0.0,0.0,0.0,51200,0.023854961832061067,0.9765625,model_28/tf.concat/concat2_avgpool
CONV_2D,Conv2DBias,410112,79.81068626229917,14144.0,0.4745093789744438,9888.0,14144.0,0.0,0.0,0.0,1843200,0.8587786259541985,25.452488687782804,model_28/tf.nn.relu_5/Relu;model_28/tf.math.add_7/Add;model_28/tf.nn.convolution_5/convolution;Const_237
